aX,aY,aZ,gX,gY,gZ
-0.050,-0.238,0.975,1.831,-1.160,-0.122
-0.051,-0.238,0.975,1.404,-1.099,0.366
-0.052,-0.240,0.967,1.099,-0.427,0.488
-0.052,-0.244,0.967,1.099,1.465,0.244
-0.055,-0.250,0.968,0.916,2.136,-0.183
-0.055,-0.249,0.967,0.977,2.380,-1.160
-0.048,-0.245,0.968,1.343,2.197,-1.831
-0.042,-0.245,0.972,0.854,2.686,-2.197
-0.036,-0.239,0.979,0.305,2.869,-1.892
-0.034,-0.235,0.981,0.427,2.441,-0.977
-0.029,-0.229,0.984,0.916,1.770,-0.305
-0.033,-0.234,0.979,1.892,-0.549,1.282
-0.040,-0.239,0.975,2.563,-2.808,1.953
-0.056,-0.250,0.966,2.563,-3.357,1.709
-0.061,-0.254,0.963,2.136,-3.113,0.549
-0.062,-0.254,0.961,1.526,-2.136,0.061
-0.060,-0.251,0.962,0.366,0.793,-0.244
-0.049,-0.244,0.972,0.305,2.014,-0.427
-0.042,-0.242,0.979,0.305,2.258,-0.366
-0.034,-0.241,0.983,0.244,1.404,0.061
-0.035,-0.243,0.980,-0.183,-0.916,1.038
-0.044,-0.247,0.970,-0.488,-1.770,1.343
-0.048,-0.248,0.967,-0.183,-2.014,1.282
-0.048,-0.249,0.972,0.244,-1.526,0.916
-0.046,-0.248,0.978,1.038,-1.343,0.488
-0.040,-0.244,0.978,1.038,-1.648,0.732
-0.044,-0.242,0.966,-0.366,-1.831,1.648
-0.051,-0.244,0.964,-1.221,-1.587,1.892
-0.057,-0.248,0.967,-1.648,-0.610,1.953
-0.057,-0.251,0.972,-0.732,0.000,1.282
-0.052,-0.247,0.972,-0.549,-0.183,0.610
-0.049,-0.242,0.970,0.183,-0.793,0.122
-0.045,-0.243,0.973,0.549,-0.977,0.427
-0.044,-0.244,0.974,0.427,-1.282,1.343
-0.046,-0.247,0.975,0.305,-1.526,1.526
-0.047,-0.248,0.975,-0.061,-1.770,1.953
-0.052,-0.250,0.973,-0.366,-2.258,2.197
-0.055,-0.252,0.968,-0.793,-3.052,2.136
-0.058,-0.254,0.967,-0.732,-3.052,1.770
-0.058,-0.249,0.967,-0.977,-2.563,1.221
-0.057,-0.247,0.970,-0.732,-1.587,1.343
