aX,aY,aZ,gX,gY,gZ
-0.327,-0.315,0.901,1.831,-5.676,2.136
-0.340,-0.319,0.874,2.808,-6.531,2.014
-0.347,-0.327,0.866,5.493,-6.897,0.427
-0.355,-0.349,0.881,5.859,-4.883,-0.916
-0.325,-0.337,0.907,1.038,4.211,-2.136
-0.300,-0.316,0.915,-3.296,7.874,-1.709
-0.286,-0.294,0.914,-3.357,5.005,-0.427
-0.301,-0.298,0.899,-1.587,-2.319,2.930
-0.331,-0.318,0.866,-0.366,-4.028,3.601
-0.338,-0.324,0.863,3.601,-5.066,1.648
-0.339,-0.324,0.888,5.188,-4.272,-0.122
-0.329,-0.332,0.904,3.784,1.648,-1.526
-0.302,-0.344,0.935,0.610,4.272,-0.732
-0.297,-0.333,0.939,-5.737,2.625,2.014
-0.316,-0.318,0.898,-7.324,-0.305,3.723
-0.334,-0.315,0.870,-6.592,-3.235,5.066
-0.354,-0.330,0.851,-4.639,-2.808,4.456
-0.355,-0.346,0.868,-1.587,-0.366,2.136
-0.349,-0.340,0.876,-0.488,0.183,0.854
-0.329,-0.332,0.894,1.709,-0.366,-0.427
-0.324,-0.329,0.905,0.793,-0.488,0.671
-0.321,-0.327,0.911,-0.732,-0.793,1.709
-0.326,-0.327,0.898,-2.869,-1.343,2.747
-0.348,-0.325,0.866,-4.272,-3.235,3.174
-0.359,-0.332,0.861,-0.854,-2.686,1.160
-0.358,-0.346,0.883,0.305,-0.305,-0.305
-0.345,-0.342,0.901,-0.244,4.333,-2.686
-0.312,-0.317,0.920,-0.549,4.211,-2.930

-0.965,0.652,1.152,-6.775,-12.329,2.747
-0.987,0.708,1.116,-23.804,-31.982,3.418
-0.970,0.773,0.980,-32.654,-35.950,5.493
-0.956,0.772,0.919,-48.828,-31.433,15.198
-0.915,0.727,0.836,-56.885,-22.522,21.301
-0.889,0.708,0.785,-66.101,-0.061,30.090
-0.862,0.738,0.664,-57.373,6.592,26.672
-0.843,0.769,0.644,-12.878,3.723,8.545
-0.834,0.754,0.676,8.606,1.526,2.747
-0.823,0.693,0.731,20.203,7.507,5.005
